Study,Year,Design,PMID,Registration,group,cases,n,mortality_rate,dose,hours,rr,logrr,se,type
CLOVERS,2023,RCT,36688507,NCT03434028,control,109,782,0.139386189,34,24,1,0,1.00E-06,rct
CLOVERS,2023,RCT,36688507,NCT03434028,treatment,116,781,0.148527529,58,24,1.065582821,0.02758721,0.115544611,rct
REFRESH,2018,RCT,30382308,ACTRN12616000006448,control,4,50,0.08,30,24,1,0,1.00E-06,rct
REFRESH,2018,RCT,30382308,ACTRN12616000006448,treatment,3,49,0.06122449,43,24,0.765306122,-0.116164812,0.663683803,rct
ProCESS,2014,RCT,24635773,NCT00510835,control,86,456,0.188596491,59,24,1,0,1.00E-06,rct
ProCESS,2014,RCT,24635773,NCT00510835,treatment,81,446,0.18161435,72,24,0.962978413,-0.016383448,0.134110261,rct
ProMISe,2015,RCT,25776532,ISRCTN36307479,control,,,,,,,,,
ProMISe ,2015,RCT,25776532,ISRCTN36307479,treatment,,,,,,,,,
ARISE,2014,RCT,25272316,NCT00975793,control,,,,,,,,,
ARISE,2014,RCT,25272316,NCT00975793,treatment,,,,,,,,,
Kuttab,2019,Cohort,31393324,NA,control,102,523,0.195,13.33333333,3,1,0,1.00E-06,cohort
Kuttab,2019,Cohort,31393324,NA,treatment,74,509,0.145383104,40,3,0.74544474,-0.127584546,0.13279916,cohort
Leisman,2017,Cohort,28671898,NA,control,846,3458,0.244650087,11,6,1,0,1.00E-06,cohort
Leisman,2017,Cohort,28671898,NA,treatment,446,2388,0.186767169,27,6,0.763405285,-0.117244838,0.051480013,cohort
Leisman,2017,Cohort,28671898,NA,treatment,949,5336,0.177848576,29,6,0.726950798,-0.138494983,0.040971585,cohort
,,,,,,,,,,,,,,
